212F30	3007
213021	4E00
213022	4E01
213023	4E03
213024	4E09
213025	4E0B
213026	4E0A
213027	4E08
213029	4E10
21302A	4E0D
21302B	4E14
21302C	4E19
21302D	4E16
21302E	4E15
21302F	4E18
213030	4E22
213031	4E1E
213032	4E26
213034	4E2D
213035	4E32
213036	51E1
213037	4E38
213038	4E39
213039	4E3B
21303A	4E43
21303B	4E45
21303D	4E4B
21303E	5C39
21303F	4E4F
213040	4E4E
213041	4E4D
213042	4E52
213043	4E53
213044	4E56
213045	4E58
213046	4E59
213047	4E5D
213048	4E5F
213049	4E5E
21304B	4E73
21304C	4E7E
21304D	4E82
213050	4E8B
213051	4E8C
213052	4E8E
213053	4E95
213054	4E94
213055	4E92
213057	4E99
213058	4E9E
213059	4E9B
21305A	4E9F
21305B	4EA1
21305C	4EA6
21305D	4EA5
21305E	4EA4
21305F	4EA8
213060	4EAB
213061	4EAC
213062	4EAD
213063	4EAE
213064	4EBA
213065	4ECA
213066	4EC1
213068	4EC3
213069	4EC4
21306B	4ECD
21306C	4EC7
21306D	4ECB
21306E	4EE4
21306F	4ED8
213070	4ED5
213071	4ED6
213072	4EDE
213073	4EE3
213074	4ED4
213075	4ED7
213076	4ED9
213077	4EE5
213078	4EFF
213079	4F09
21307C	4EFB
21307D	4F0A
21307E	4F15
213121	4F11
213122	4F10
213123	4F0F
213124	4EF2
213125	4F01
213126	4EF3
213127	4EF6
213128	4EF0
21312A	4F4F
21312B	4F4D
21312C	4F34
21312D	4F47
21312E	4F57
21312F	4F3A
213130	4F5E
213132	4F5B
213133	4F55
213134	4F30
213135	4F50
213136	4F51
213137	4F3D
213138	4F48
213139	4F46
21313A	4F38
21313B	4F43
21313C	4F54
21313D	4F3C
21313E	4F63
21313F	4F5C
213140	4F60
213141	4F2F
213142	4F4E
213143	4F5D
213144	4F36
213145	4F9D
213146	4F6F
213147	4F75
213148	4F8D
213149	4F73
21314A	4F7F
21314B	4F9B
21314C	4F86
21314D	4F6C
21314E	4F8B
21314F	4F96
213151	4F83
213152	4F7B
213153	4F88
213154	4F69
213155	4F8F
213156	4F7E
213157	4FE1
213158	4FD1
213159	4FB5
21315A	4FAF
21315B	4FBF
21315C	4FDE
21315D	4FE0
21315E	4FCF
21315F	4FB6
213160	4FDA
213161	4FDD
213162	4FC3
213163	4FD8
213164	4FDF
213165	4FCA
213166	4FAE
213167	4FD0
213168	4FC4
213169	4FC2
21316A	4FCE
21316B	4FD7
21316C	5009
21316E	500D
21316F	4FEF
213170	5026
213171	500C
213172	5025
213173	5011
213174	4FF8
213175	5028
213176	5014
213177	5016
213178	5029
213179	5006
21317B	5012
21317C	503C
21317D	501A
21317E	4FFA
213221	5018
213222	4FF1
213223	5021
213224	500B
213225	5019
213226	5000
213227	4FEE
213228	4FF3
213229	502D
21322A	5003
21322B	4FFE
21322C	502A
21322D	502B
21322E	505C
21322F	504F
213230	5065
213231	5047
213232	505A
213233	5049
213234	5043
213235	5074
213236	5076
213237	504E
213238	5075
213239	504C
21323A	5055
21323B	500F
21323C	5077
21323D	508D
21323E	50A2
21323F	5085
213240	5099
213241	5091
213242	5080
213243	5096
213244	5098
213245	50AD
213246	50B3
213247	50B5
213248	50B2
213249	50C5
21324A	50BE
21324B	50AC
21324C	50B7
21324D	50AF
21324E	50E7
21324F	50EE
213250	50F1
213251	50E5
213252	50D6
213253	50ED
213254	50DA
213255	50D5
213256	507D
213257	50CF
213258	50D1
213259	5100
21325A	5104
21325B	50FB
21325C	50F5
21325D	50F9
21325E	5102
21325F	510D
213260	5108
213261	5109
213262	5110
213263	5118
213264	5112
213265	5114
213266	512A
213267	511F
213268	5121
213269	5132
21326A	5137
21326B	513C
21326C	5140
21326D	5143
21326E	5141
21326F	5145
213270	5144
213271	5146
213272	5149
213273	5147
213274	5148
213275	514C
213277	514D
213278	5155
213279	5154
21327A	5152
21327B	5157
21327C	515C
21327D	5162
21327E	5165
213321	5167
213322	5168
213323	5169
213324	516B
213325	516D
213326	516E
213327	516C
213328	5171
213329	5175
21332A	5176
21332B	5177
21332C	5178
21332D	517C
21332E	5180
21332F	5189
213330	518C
213331	518D
213332	5192
213333	5191
213334	5195
213335	6700
213336	5197
213337	51A0
213339	51A5
21333C	51B0
21333D	51B6
21333E	51B7
213340	51CD
213341	51CC
213344	51DC
213345	51DD
213347	51F0
213348	51F1
213349	51F3
21334B	51FA
21334C	51F9
21334D	51F8
21334E	51FD
21334F	5200
213350	5201
213351	5203
213352	5207
213353	5206
213354	5208
213355	520A
213356	5211
213357	5217
213359	520E
21335A	5224
21335B	5225
21335C	5220
21335D	5228
21335E	5229
21335F	5238
213360	523B
213361	5237
213362	5230
213363	523A
213366	5241
213367	5239
213368	5243
213369	524D
21336A	524C
21336B	524B
21336C	524A
21336D	5247
21336E	525C
21336F	5256
213370	525B
213371	5254
213372	525D
213373	526A
213374	526F
213375	5272
213376	5274
213377	5269
213378	5275
21337A	527D
21337B	527F
21337C	5283
21337D	5288
21337E	5287
213421	528D
213422	5289
213423	5291
213424	529B
213425	529F
213426	52A0
213427	52A3
213428	52AB
213429	52A9
21342A	52AC
21342B	52AA
21342C	52BE
21342D	52C7
21342E	52C3
21342F	52C1
213430	52C9
213431	52D8
213432	52D2
213433	52D9
213434	52D5
213435	52DE
213436	52DB
213437	52DD
213438	52E2
213439	52E4
21343A	52DF
21343C	52F5
21343D	52F8
21343E	52FB
213440	52FF
213441	5305
213442	5306
213443	5308
213444	530D
213445	5310
213446	530F
213447	5315
213448	5316
213449	5317
21344A	5319
21344B	53F5
21344C	531D
21344D	5321
21344E	5320
21344F	5323
213450	532A
213451	532F
213452	5331
213453	5339
213454	533E
213455	5340
213456	533F
213457	5341
213458	5343
213459	5345
21345A	5348
21345B	5347
21345C	534A
21345D	5349
21345F	5352
213460	5354
213461	5353
213462	5351
213463	5357
213464	535A
213466	535E
213467	5361
213469	5366
21346A	536F
21346B	536E
21346C	5370
21346D	5371
21346E	537D
21346F	5375
213471	5378
213473	537B
213474	537F
213475	5384
213476	539A
213477	539D
213478	539F
213479	53A5
21347A	53AD
21347B	53B2
21347C	53BB
21347D	53C3
21347E	53C8
213521	53C9
213522	53CB
213523	53CA
213524	53CD
213525	53D6
213526	53D4
213527	53D7
213528	53DB
213529	53DF
21352A	66FC
21352B	53E2
21352C	53E3
21352D	53F8
21352E	53E4
21352F	53EE
213530	53EF
213531	53E9
213532	53F3
213533	53FC
213534	53E8
213535	53E6
213536	53EC
213537	53EB
213538	53F0
213539	53E5
21353A	53F1
21353B	53ED
21353C	53EA
21353D	53F2
21353F	540B
213540	5409
213541	5410
213542	540F
213543	540C
213544	540A
213545	540D
213546	5404
213547	5403
213548	5412
21354A	5406
21354D	542D
21354E	541D
21354F	541E
213550	541B
213551	544E
213552	543E
213553	5427
213554	5440
213555	5431
213556	5446
213557	543C
213558	5443
213559	5426
21355A	5420
21355B	5436
21355C	5433
21355D	5435
21355E	542E
21355F	544A
213560	5448
213561	543B
213562	5438
213563	5439
213564	5442
213565	542B
213566	541F
213567	5429
213568	5473
213569	5462
21356A	5475
21356B	5495
21356C	5478
21356D	5496
21356E	5477
21356F	547B
213571	5492
213572	5484
213573	547C
213574	5468
213575	5486
213576	548B
213577	548C
213578	5490
213579	547D
21357A	5476
21357B	5471
21357C	549A
21357D	548E
21357E	54A9
213621	54AA
213622	54A8
213623	54AC
213624	54C0
213625	54B3
213626	54A6
213627	54AB
213628	54C7
213629	54C9
21362A	54C4
21362B	54C2
21362D	54C1
21362F	54CE
213630	54B1
213631	54BB
213632	54AF
213633	54C8
213634	5501
213635	54FC
213636	5510
213637	54EA
213638	5514
213639	54FA
21363A	54E5
21363B	54EE
21363C	54F2
21363D	54E8
21363E	54E1
21363F	54E9
213640	54ED
213641	5506
213642	5509
213643	54E6
213644	5556
213645	5533
213646	5546
213647	5537
213648	554F
213649	555E
21364A	5566
21364B	556A
21364C	554A
21364D	5544
21364E	555C
21364F	5531
213650	5543
213651	552C
213652	5561
213653	553E
213654	5563
213655	5555
213656	552F
